part_id,color,x,y,z,a,b,c,d,e,f,g,h,i,part,part_name,part_cat_id,year_from,year_to,category_name,dim1,dim2,dim3,bracket_info
140,40,30.0,-64.0,60.0,0.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,54200,Slope 30° 1 x 1 x 2/3 (Cheese Slope),3.0,2004.0,2025.0,Bricks Sloped,1.0,1.0,2/3,
141,0,0.0,-72.0,80.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3710,Plate 1 x 4,14.0,1976.0,2025.0,Plates,1.0,4.0,,
142,15,0.0,-72.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,92593,Plate Special 1 x 4 with 2 Studs,9.0,2011.0,2021.0,Plates Special,1.0,4.0,,
143,15,-20.0,-64.0,120.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,85984,Slope 30° 1 x 2 x 2/3,3.0,2009.0,2025.0,Bricks Sloped,1.0,2.0,2/3,
144,15,20.0,-64.0,120.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,85984,Slope 30° 1 x 2 x 2/3,3.0,2009.0,2025.0,Bricks Sloped,1.0,2.0,2/3,
145,15,-20.0,-96.0,70.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,93606,Slope Curved 4 x 2 No Studs,37.0,2011.0,2025.0,Bricks Curved,4.0,2.0,,
146,15,-20.0,-96.0,70.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,75895,Sticker Sheet for Set 9558-1,58.0,2012.0,2012.0,Stickers,,,,
147,15,20.0,-96.0,70.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,93606,Slope Curved 4 x 2 No Studs,37.0,2011.0,2025.0,Bricks Curved,4.0,2.0,,
148,15,20.0,-96.0,70.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,75895,Sticker Sheet for Set 9558-1,58.0,2012.0,2012.0,Stickers,,,,
149,0,0.0,-72.0,160.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,99206,Plate Special 2 x 2 x 2/3 with Two Studs On Side and Two Raised,9.0,2012.0,2025.0,Plates Special,2.0,2.0,2/3,
